protocol,local_address,local_port,remote_address,remote_port,status,pid,service,security_status,recommendation,firewall_cmd
TCP,::,49665,N/A,N/A,LISTEN,1076,Unknown,Safe,No action needed,N/A
UDP,0.0.0.0,5353,N/A,N/A,NONE,1604,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,49925,127.0.0.1,49924,ESTABLISHED,14820,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,58385,13.66.142.100,8883,ESTABLISHED,21008,Unknown,Safe,No action needed,N/A
TCP,0.0.0.0,5040,N/A,N/A,LISTEN,10252,Unknown,Safe,No action needed,N/A
UDP,::,50083,N/A,N/A,NONE,18516,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59720,2001:558:feed:443::109,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,59783,20.189.173.18,443,ESTABLISHED,11436,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,49882,127.0.0.1,49883,ESTABLISHED,10100,Unknown,Safe,No action needed,N/A
UDP,10.0.0.125,62714,N/A,N/A,NONE,14100,Unknown,Safe,No action needed,N/A
TCP,127.0.0.1,49727,127.0.0.1,49726,ESTABLISHED,1640,Unknown,Safe,No action needed,N/A
TCP,10.0.0.125,56929,192.108.254.67,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
UDP,::,60855,N/A,N/A,NONE,3716,Unknown,Safe,No action needed,N/A
UDP,::,5355,N/A,N/A,NONE,2092,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,56943,2607:f8b0:4023:141f::bc,5228,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59717,2606:4700::6812:1cea,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
TCP,2601:805:8881:e400:d811:bf2c:9e8b:cdd4,59793,2a03:2880:f366:8d:face:b00c:0:2,443,ESTABLISHED,19388,Unknown,Safe,No action needed,N/A
